disorder	query_point	query_score	prior	lr_point_estimate	lr_ci_low	lr_ci_high	points_conservative	band	posterior_prob	evidence_anchor	n_case	n_control	n_studies_case	confounded_by_design	reason
Sotos syndrome	typical_case_score	0.1321	0.05	142.41593570327453	142.41593570327453	142.41593570327453	6.770848289926471	Strong	0.8822916714064276	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	typical_case_score	0.1321	0.1	142.41593570327453	142.41593570327453	142.41593570327453	6.770848289926471	Strong	0.9405610779460027	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	typical_case_score	0.1321	0.2	142.41593570327453	142.41593570327453	142.41593570327453	6.770848289926471	Strong	0.9726805693602479	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	typical_missense_vous_score	0.0421	0.05	4.27991793208837	4.27991793208837	4.27991793208837	1.9852506467650761	Supporting	0.1838459201004766	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	typical_missense_vous_score	0.0421	0.1	4.27991793208837	4.27991793208837	4.27991793208837	1.9852506467650761	Supporting	0.3222849684745996	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	typical_missense_vous_score	0.0421	0.2	4.27991793208837	4.27991793208837	4.27991793208837	1.9852506467650761	Supporting	0.5169034243083234	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	borderline_score_zero	0.0	0.05	1.7583256997321135	1.7583256997321135	1.7583256997321135	0.7705991130203804	No evidence	0.0847046011882743	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	borderline_score_zero	0.0	0.1	1.7583256997321135	1.7583256997321135	1.7583256997321135	0.7705991130203804	No evidence	0.16343860083878076	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
Sotos syndrome	borderline_score_zero	0.0	0.2	1.7583256997321135	1.7583256997321135	1.7583256997321135	0.7705991130203804	No evidence	0.3053536377447204	PP4_diagnostic	38	53	1	True	band assigned from the bootstrap CI bound closer to LR=1 (conservative)
