n_case	n_studies_case_assumed	lr_point_estimate	points_conservative	attainable_band	confounded_by_design
200	2	1428.432010777012	9.322987984957788	Very Strong	False
100	2	774.1426903942437	8.643796274705089	Very Strong	False
63	2	391.30990676377775	7.779100522983218	Strong	False
38	2	369.8641594260511	7.318648802886307	Strong	False
37	2	290.54443400489265	7.196039081406935	Strong	False
29	1	202.0594670626688	7.2484909442993475	Strong	True
21	1	227.85929207891513	7.412570028044038	Strong	True
20	1	205.88137294128265	7.274076579736696	Strong	True
19	1	119.82945220226091	6.535061874381768	Strong	True
16	1	128.5148610278421	6.630608181155366	Strong	True
15	1	147.75603642809216	6.821110747786326	Strong	True
10	1	86.93281246579122	6.096847756600816	Strong	True
8	1	57.673483410626076	5.536558255875762	Strong	True
6	1	53.342696648305875	5.429971886328201	Strong	True
5	1	57.43154462671527	5.530818247361144	Strong	True
