gsm_accession	cohort	score	signature_source
GSM2562799	held_out_variant_or_validation	-0.2842657840821864	rederived_not_published
GSM2562800	held_out_variant_or_validation	-0.11219248857259734	rederived_not_published
GSM2562801	held_out_variant_or_validation	0.1209380986689953	rederived_not_published
GSM2562802	held_out_variant_or_validation	0.17707597074397607	rederived_not_published
GSM2562803	held_out_variant_or_validation	0.0909642384571766	rederived_not_published
GSM2562804	held_out_variant_or_validation	-0.28551022096891665	rederived_not_published
GSM2562805	held_out_variant_or_validation	-0.2646306142699575	rederived_not_published
GSM2562806	held_out_variant_or_validation	-0.2422030059699869	rederived_not_published
GSM2562807	held_out_variant_or_validation	0.06954639234920879	rederived_not_published
GSM2562808	held_out_variant_or_validation	0.1558074440204985	rederived_not_published
GSM2562809	discovery_control	-0.33878142549233003	rederived_not_published
GSM2562810	discovery_control	-0.47060696597751545	rederived_not_published
GSM2562811	discovery_control	-0.009421579035010952	rederived_not_published
GSM2562812	discovery_control	-0.2208165103160673	rederived_not_published
GSM2562813	discovery_control	0.015244617282205608	rederived_not_published
GSM2562814	discovery_control	-0.20471299022834455	rederived_not_published
GSM2562815	discovery_control	-0.22266217375583564	rederived_not_published
GSM2562816	discovery_control	-0.4816581887921832	rederived_not_published
GSM2562817	discovery_control	-0.45834165942083277	rederived_not_published
GSM2562818	discovery_control	-0.3093610944737043	rederived_not_published
GSM2562819	discovery_control	-0.05849973825537813	rederived_not_published
GSM2562820	discovery_control	-0.14327129494381485	rederived_not_published
GSM2562821	discovery_control	-0.29048794762483565	rederived_not_published
GSM2562822	discovery_control	-0.004801357654481975	rederived_not_published
GSM2562823	discovery_control	-0.30410333186443406	rederived_not_published
GSM2562824	discovery_control	-0.19855530187952564	rederived_not_published
GSM2562825	discovery_control	-0.36807603110239395	rederived_not_published
GSM2562826	discovery_control	0.008168896172388918	rederived_not_published
GSM2562827	discovery_control	-0.2917636582957942	rederived_not_published
GSM2562828	discovery_control	-0.4201169204860938	rederived_not_published
GSM2562829	discovery_control	-0.25620361133677416	rederived_not_published
GSM2562830	discovery_control	-0.27133007667133435	rederived_not_published
GSM2562831	discovery_control	-0.02255842277174236	rederived_not_published
GSM2562832	discovery_control	-0.11736160073891044	rederived_not_published
GSM2562833	discovery_control	-0.20546653394166625	rederived_not_published
GSM2562834	discovery_control	-0.09420581796702199	rederived_not_published
GSM2562835	discovery_control	-0.31508651175101765	rederived_not_published
GSM2562836	discovery_control	-0.24607906742039742	rederived_not_published
GSM2562837	discovery_control	-0.07945037775785402	rederived_not_published
